Product Title,Product Name,Product Price,Product Discounted Price,Image URLs,Product Type,Buy Link,Average Rating,Generated Description,Review Summary,Product Title hi-IN,Product Name hi-IN,Generated Description hi-IN,Review Summary hi-IN
H&M,Relaxed Fit Sweatshirt,MRP,MRP₹ 799,"['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25154390/2023/9/25/2d330ce2-d3d1-4fb8-9fe3-42e0ffea02f81695647436879HMRelaxed-FitDrop-ShoulderSweatshirt1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25154390/2023/9/25/f69488b4-da84-4f06-a761-82a65d0aa7b01695647436908HMRelaxed-FitDrop-ShoulderSweatshirt2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25154390/2023/9/25/726faf66-dd69-4142-b6c8-23dcf6d753d71695647436893HMRelaxed-FitDrop-ShoulderSweatshirt3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25154390/2023/9/25/da391079-e9a1-45e5-9523-befb9f3be12f1695647436846HMRelaxed-FitDrop-ShoulderSweatshirt4.jpg']",men-sweatshirts,https://www.myntra.com/sweatshirts/h%26m/hm-relaxed-fit-sweatshirt/25154390/buy,5.0,"This relaxed-fit pullover sweatshirt is crafted from a soft cotton blend, making it perfect for casual wear. It features long sleeves with dropped shoulders, a round neckline, and ribbing around the cuffs, hem, and neckline. The inside is brushed for added softness and comfort. Ideal for a laid-back look, this solid-patterned sweatshirt pairs well with various body types and offers a cozy, stylish option for everyday outfits.","The sweatshirt features superb soft thermal fabric, ideal for Delhi winters. The chocolate brown color matches the images, and the XL size fits comfortably for someone 6 feet tall. For a snug fit, choose a size smaller. Highly recommended, but Myntra should improve product descriptions to specify season suitability.",H&M,रिलैक्स्ड फिट स्वेटशर्ट,"यह आरामदायक पुलओवर स्वेटशर्ट एक कोमल सूती मिश्रण से बनाई गई है। यह रोजमर्रा के पहनने के लिए बहुत अच्छा है। इसमें लंबी आस्तीनें हैं जो कंधों पर नीचे की ओर लगी होती हैं, एक गोल नेकलाइन और कफ, हेम और नेकलाइन पर रिबिंग होती है। स्वेटशर्ट के अंदर को अतिरिक्त नरमता और आराम के लिए साफ किया जाता है। यह साधारण, ठोस-नज़र वाले स्वेटशर्ट एक आरामदायक लुक के लिए बहुत अच्छा है। यह कई प्रकार के शरीर के लिए उपयुक्त है और आपके दैनिक परिधानों के लिए एक गर्म, स्टाइलिश विकल्प है।","स्वेटशर्ट बहुत नरम, गर्म कपड़े से बना है, जो दिल्ली की ठंडी सर्दियों के लिए एकदम सही है। रंग, चॉकलेट भूरा, तस्वीरों से मेल खाती है। एक्स.एल. आकार 6 फीट लंबे व्यक्ति के लिए एक अच्छा फिट है। यदि आप अधिक कसावदार फिट चाहते हैं, तो आपको एक छोटा आकार चुनना चाहिए। मैं इस स्वेटशर्ट का अत्यधिक सुझाव देता हूँ, लेकिन माइन्ट्रा को अपने उत्पाद विवरणों में यह स्पष्ट करना चाहिए कि स्वेटशर्ट किस मौसम के लिए उपयुक्त है।"
Roadster,Men Charcoal Solid Hooded Sweatshirt,MRP ₹999,₹599,"['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7781179/2018/12/14/2b7d331b-81c4-4056-8b1d-b723735ce9b31544764514212-Roadster-Men-Sweatshirts-3111544764513757-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7781179/2018/12/14/91c96abe-1a4e-4fce-ad8b-7ec6d139b4451544764514200-Roadster-Men-Sweatshirts-3111544764513757-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7781179/2018/12/14/e599523e-0191-4e2e-901b-1b3e19548f771544764514189-Roadster-Men-Sweatshirts-3111544764513757-3.jpg']",men-sweatshirts,https://www.myntra.com/sweatshirts/roadster/roadster-men-charcoal-solid-hooded-sweatshirt/7781179/buy,5.0,"This charcoal solid sweatshirt is a versatile addition to your wardrobe. It features a hood, long sleeves, and a straight hem, making it perfect for casual outings. The pullover design is complemented by a regular length and two convenient pockets. The solid pattern adds a touch of simplicity and style, making it suitable for various body types. Ideal for layering, this hooded sweatshirt offers both comfort and a sleek look.","Users praise the sweatshirt for its great fit, high-quality fabric, and comfort. They find it awesome for the price, with a thick, comfy material ideal for winters. Highly recommended!",रोडस्टर,पुरुषों का चारकोल सॉलिड हुडेड स्वेटशर्ट,"यह चारकोल रंग का स्वेटशर्ट आपके कपड़ों में होना बहुत अच्छा है। इसमें एक हुड, लंबी आस्तीन और एक सीधा तल है, जो इसे रोजमर्रा के पहनने के लिए बहुत अच्छा बनाता है। यह एक पुल-ओवर शैली है, और यह एक नियमित लंबाई का है। इसमें दो सुविधाजनक पॉकेट भी हैं। ठोस रंग इसे एक साफ और स्टाइलिश रूप देता है, जिससे यह कई शरीर प्रकारों के लिए एक अच्छा मैच बन जाता है। यह स्वेटशर्ट परतदार के लिए बहुत अच्छा है, जो आराम और स्टाइलिश उपस्थिति दोनों प्रदान करता है।","लोग वास्तव में सीवनदार कमीज को पसंद करते हैं क्योंकि यह अच्छी तरह से फिट बैठती है, उच्च गुणवत्ता वाले कपड़े से बनी होती है और आरामदायक महसूस होती है। उन्हें लगता है कि यह कीमत के लिए एक अच्छा मूल्य है, विशेष रूप से क्योंकि यह गर्म और आरामदायक है, जो ठंड के सर्दियों के दिनों के लिए एकदम सही है। वे इसकी बहुत सलाह देते हैं!"
Quechua By Decathlon,Men Orange Solid Hiking and Trekking Sweatshirt,MRP ₹899,₹699,"['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15205810/2021/8/20/5ea0b5cd-20b8-4b9c-b1c9-657c4430042c1629441156443na1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15205810/2021/8/20/ec81448a-ae3a-4945-96c5-5bcf4d44c9661629441156554na2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15205810/2021/8/20/2bc901c2-6472-4705-b70c-12590507ec251629441156735na3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15205810/2021/8/20/5b3ebe06-e385-4760-922a-de1ca97f27ad1629441156827na4.jpg']",men-sweatshirts,https://www.myntra.com/sweatshirts/quechua+by+decathlon/quechua-by-decathlon-men-orange-solid-hiking-and-trekking-sweatshirt/15205810/buy,4.666666666666667,"This men's orange sweatshirt features a solid pattern and a mock collar with a zip closure. It has long sleeves and a straight hem, making it perfect for casual occasions. The regular length and pullover style ensure a comfortable fit for everyday wear. Ideal for those looking for a versatile and stylish addition to their wardrobe.","Users praise the product for its great fit (when measurements are correct), suitability for moderate winter, and reasonable price. Decathlon products are generally satisfying. Highly recommended for winter use at a price of 699.",डेकाथलॉन द्वारा क्वेचुआ,यह पुरुषों का नारंगी ठोस हाइकिंग और ट्रेकिंग स्वेटशर्ट है।,"पुरुषों के लिए इस नारंगी स्वेटशर्ट में एक साधारण डिज़ाइन है और इसे बंद करने के लिए एक ज़िप के साथ एक नकली कॉलर है। इसमें लंबी आस्तीन और सीधा निचला हिस्सा है, जो इसे अनौपचारिक कार्यक्रमों के लिए बहुत अच्छा बनाता है। इसे लंबाई में नियमित होने के लिए डिज़ाइन किया गया है और इसे सिर पर खींचा जा सकता है, जिससे यह दैनिक उपयोग के लिए एक आरामदायक विकल्प बन जाता है। यह किसी भी व्यक्ति के लिए एक अच्छा विकल्प है जो अपने अलमारी में एक व्यावहारिक और स्टाइलिश वस्तु जोड़ना चाहता है।","कई उपयोगकर्ता उत्पाद के उत्कृष्ट फिट से खुश हैं, बशर्ते कि माप सटीक हों। वे इसे हल्की सर्दी की स्थिति के लिए भी उपयुक्त पाते हैं और इसे उचित मूल्य वाला मानते हैं। डेकाथलॉन उत्पाद आम तौर पर लोकप्रिय होते हैं। इस उत्पाद को सर्दियों के दौरान उपयोग के लिए अत्यधिक अनुशंसित किया जाता है, और यह 699 की कीमत पर उपलब्ध है।"
H&M,Loose Fit Zip-Through Hoodie,MRP,MRP₹ 1499,"['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27026244/2024/1/17/b074de70-750e-4def-a81d-eed26235cf3e1705487258068HMMenLooseFitZip-ThroughHoodieSweatshirts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27026244/2024/1/17/872682a8-fd3d-4535-8e22-c923ac5f360c1705487258074HMMenLooseFitZip-ThroughHoodieSweatshirts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27026244/2024/1/17/a9605e73-e090-434b-89c8-905a0bde8ce71705487258080HMMenLooseFitZip-ThroughHoodieSweatshirts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27026244/2024/1/17/179fe9af-c738-4838-b72d-4b2f6d4375e11705487258086HMMenLooseFitZip-ThroughHoodieSweatshirts4.jpg']",men-sweatshirts,https://www.myntra.com/sweatshirts/h%26m/hm-loose-fit-zip-through-hoodie-/27026244/buy,5.0,"This zip-through hoodie is crafted from lightweight sweatshirt fabric made from a cotton blend, featuring a soft brushed inside for added comfort. It includes a jersey-lined, drawstring hood and a zip down the front for easy wear. The design boasts diagonal welt side pockets and wide ribbing at the cuffs and hem. The hoodie offers a loose fit, providing a generous but not oversized silhouette. Perfect for casual wear, this solid-patterned hoodie is an essential addition to any wardrobe.","Myntra is praised for its user-friendly interface, extensive product range, reliable order tracking, and excellent customer support. An H&M hoodie from Myntra is also highly rated for its comfort, durability, simple design, and value, making it a standout addition to casual wear.",H&M,ढीले फिट जिप-थ्रू हुडी,"यह जिप-थ्रू हुडी एक हल्की, नरम स्वेटशर्ट सामग्री से बनाई गई है जो सूती का मिश्रण है। इसमें अतिरिक्त आराम के लिए अंदर की तरफ नरम, ब्रश की हुई सतह है। इसमें एक हुड है जिसमें जर्सी की अस्तर और एक डोर है, और सामने की तरफ एक ज़िप है जिससे इसे पहनना आसान हो जाता है। डिजाइन में तिरछे साइड पॉकेट और कफ और हेम पर चौड़े रिबिंग हैं। हुडी ढीले-ढाले ढंग से फिट होती है, जिससे एक विशाल लेकिन बहुत बड़ा नहीं दिखता है। यह अनौपचारिक परिधान के लिए बहुत अच्छा है और अपने ठोस पैटर्न के कारण किसी भी अलमारी के लिए एक जरूरी वस्तु है।","मिंत्रा अपनी उपयोग में आसान वेबसाइट और ऐप, विभिन्न प्रकार के उत्पादों, सटीक ऑर्डर ट्रैकिंग और सहायक ग्राहक सेवा के लिए जाना जाता है। मिंत्रा पर बिकने वाला एच एंड एम का हुडीज़ विशेष रूप से अपने आराम, दीर्घकालिक गुणवत्ता, सरल शैली और अच्छी कीमत के लिए लोकप्रिय है। इससे यह रोजमर्रा के पहनने के लिए एक अच्छा विकल्प बन जाता है।"
Roadster,The Lifestyle Co. Men Mock Collar Sweatshirt,MRP ₹1099,₹604,"['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24297802/2023/9/7/78c679a9-44d6-4b94-95b0-7a223830e3381694076179578-Roadster-Men-Sweatshirts-7531694076179031-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24297802/2023/9/7/d7617ae5-74d8-4523-a824-fa802d58e3a91694076179550-Roadster-Men-Sweatshirts-7531694076179031-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24297802/2023/9/7/0ad83d6c-e262-41d0-9ebf-2e5af41f7e2a1694076179519-Roadster-Men-Sweatshirts-7531694076179031-3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24297802/2023/9/7/3e8ff164-f092-4550-b8fa-710257d8aa9b1694076179488-Roadster-Men-Sweatshirts-7531694076179031-4.jpg']",men-sweatshirts,https://www.myntra.com/sweatshirts/roadster/the-roadster-lifestyle-co-men-mock-collar-sweatshirt/24297802/buy,5.0,"This olive green solid sweatshirt features a mock collar and long sleeves, making it a stylish and comfortable choice for casual wear. The half zipper closure adds a modern touch, while the straight hem provides a clean, tailored look. Perfect for pairing with jeans or casual trousers, this pullover sweatshirt is a versatile addition to any wardrobe, suitable for a variety of body types.","Users praise the quality and softness of the Roadster product, even after washing. One user, 5'7"" in height, found the M size slightly short but still very satisfactory after 4 months. It meets expectations, especially considering its price range.",रोडस्टर,,"यह जैतूनी हरी स्वेटशर्ट एक ठोस रंग है और इसमें एक नकली कॉलर और लंबी आस्तीन है। यह आकस्मिक पहनने के लिए बहुत अच्छा है क्योंकि यह स्टाइलिश और आरामदायक दोनों है। आधा ज़िपर बंद करना इसे एक आधुनिक अनुभूति देता है, और सीधा हेम इसे एक साफ, अच्छी तरह से फिट दिखाई देता है। आप इसे जींस या आरामदायक पैंट के साथ पहन सकते हैं, जिससे यह एक बहुमुखी टुकड़ा बन जाता है जो विभिन्न प्रकार के शरीर के साथ अच्छी तरह से फिट होता है।","लोग वास्तव में रोडस्टर उत्पाद को पसंद करते हैं क्योंकि यह उच्च गुणवत्ता वाला है और मुलायम महसूस होता है। धोने के बाद भी यह बहुत अच्छा दिखता है और महसूस होता है। एक उपयोगकर्ता जो 5'7"" लंबा है, उसने उल्लेख किया कि एम आकार उनके लिए थोड़ा छोटा था। हालाँकि, वे चार महीने तक इसका उपयोग करने के बाद भी इससे बहुत खुश थे। उन्हें लगा कि यह कीमत के हिसाब से अच्छा मूल्य है।"
Roadster,Men Solid Hooded Sweatshirt,MRP ₹1999,₹1199,"['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21203458/2023/1/2/06271946-be59-476d-bb62-0b4d81c961611672651142670-Roadster-Men-Sweatshirts-91672651142282-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21203458/2023/1/2/99a7b71b-ea5a-4141-bc95-34f70d7c2f6b1672651142648-Roadster-Men-Sweatshirts-91672651142282-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21203458/2023/1/2/b96d137d-0b0e-4ec2-87e9-44cd22852f941672651142627-Roadster-Men-Sweatshirts-91672651142282-3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21203458/2023/1/2/602af5c4-e3d3-4bcf-abb1-bcd951dc1fb51672651142603-Roadster-Men-Sweatshirts-91672651142282-4.jpg']",men-sweatshirts,https://www.myntra.com/sweatshirts/roadster/roadster-men-solid-hooded-sweatshirt/21203458/buy,5.0,"This grey solid sweatshirt is a versatile and comfortable addition to your wardrobe. Featuring a hood, long sleeves, and a convenient kangaroo pocket, this pullover is perfect for casual wear. The ribbed hem adds a touch of style while ensuring a snug fit. Ideal for regular wear, it complements various body types and pairs well with jeans or joggers for a relaxed look.","Users praise the Roadster Black Men Hooded sweatshirt for its stylish design, comfort, and durable material. It's versatile and fits true to size. However, it may not be breathable in warm weather. While it may be pricier, its quality and functionality make it a worthwhile investment.",रोडस्टर,पुरुषों के लिए ठोस हुड वाला स्वेटशर्ट,"यह धूसर स्वेटशर्ट आपके कपाट में रखने के लिए एक व्यावहारिक और आरामदायक वस्तु है। इसमें एक हुड, लंबी आस्तीनें और सामने की ओर एक आसान जेब है, जो इसे रोजमर्रा के उपयोग के लिए बहुत अच्छा बनाती है। पट्टीदार तल इसे एक स्टाइलिश स्पर्श देता है और इसे अच्छी तरह से फिट होने में मदद करता है। यह रोजमर्रा के पहनने के लिए उपयुक्त है और शरीर के अधिकांश प्रकारों के लिए उपयुक्त है। आप इसे कैजुअल लुक के लिए जींस या जॉगर्स के साथ पहन सकते हैं।","रोडस्टर ब्लैक मेन हुडेड स्वेटशर्ट को उसके फैशनेबल लुक, आराम और मजबूत कपड़े के लिए अत्यधिक सराहना प्राप्त है। यह एक अच्छा विकल्प है क्योंकि इसे कई अलग-अलग तरीकों से पहना जा सकता है और यह अच्छी तरह से फिट होता है। हालांकि, यह गर्म मौसम के लिए सबसे अच्छा विकल्प नहीं हो सकता है क्योंकि यह गर्मी को रोक सकता है। भले ही यह थोड़ा अधिक महंगा है, लेकिन इसकी उच्च गुणवत्ता और उपयोगिता इसे एक अच्छी खरीदार बनाती है।"
H&M,Men Black Solid Relaxed Fit Zip-Through Hoodie,MRP,MRP₹ 1499,"['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15545792/2021/9/27/2dd6708b-dde1-4a9c-89f1-97b49d2496d11632723549262RelaxedFitZip-throughhoodie1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15545792/2021/9/27/dd3f87fa-b27e-462a-982d-888075d852631632723549271RelaxedFitZip-throughhoodie2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15545792/2021/9/27/cd11a726-76f5-4242-be41-93b396f0d64f1632723549290RelaxedFitZip-throughhoodie3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15545792/2021/9/27/a79debb0-0f2c-4a63-88e2-8a64065c956b1632723549299RelaxedFitZip-throughhoodie4.jpg']",men-sweatshirts,https://www.myntra.com/sweatshirts/h%26m/hm-men-black-solid-relaxed-fit-zip-through-hoodie/15545792/buy,5.0,"This zip-through hoodie in sweatshirt fabric combines comfort and style. It features a jersey-lined, drawstring hood and a convenient zip down the front. Diagonal welt side pockets add functionality, while ribbing at the cuffs and hem ensure a snug fit. The soft brushed inside provides extra warmth and comfort. With its solid pattern and regular length, this front-open hoodie is perfect for casual wear. Ideal for various body types, it offers a relaxed and cozy look.","The H&M hoodie is praised for its comfort, stylish simplicity, color variety, and durability after washes. It's considered a great, affordable wardrobe staple. Myntra is highly recommended for fashion shopping due to its user-friendly interface, extensive product range, effective search filters, helpful reviews, personalized recommendations, discounts, and excellent customer service.",H&M,,"स्वेटशर्ट की सामग्री से बनी यह जिप-थ्रू हुडी आरामदायक और स्टाइलिश दोनों है। इसमें जर्सी और एक डोर से लगे हुए हुड हैं, और इसमें एक ज़िपर है जो सामने की ओर नीचे की ओर जाती है। इसमें तिरछे हिस्से में पॉकेट भी हैं जो चीजों को ले जाने के लिए बहुत अच्छे हैं, और कफ और हेम पर रिबिंग है ताकि यह फिट रहे। हुडी का अंदर का हिस्सा नरम और चिकना होता है, जो इसे गर्म और आरामदायक बनाता है। ठोस पैटर्न और नियमित लंबाई इसे अनौपचारिक पहनने के लिए बहुत अच्छा बनाती है। यह कई प्रकार के शरीर के लिए उपयुक्त है और एक आरामदायक और आरामदायक उपस्थिति देता है।","एच एंड एम हुडी अपने आराम, अपने सरल लेकिन स्टाइलिश डिजाइन, इसके कई रंगों और धोने के बाद भी कितने अच्छे से टिके रहने के लिए जानी जाती है। इसे इसकी सस्ताई के कारण किसी भी अलमारी के लिए एक आवश्यक वस्तु के रूप में देखा जाता है। फैशन की चीज़ें खरीदने के लिए मिंत्रा एक शीर्ष विकल्प है क्योंकि इसकी वेबसाइट सरल और उपयोग में आसान है, उत्पादों का एक विस्तृत चयन है, फिल्टर जो यह पता लगाना आसान बनाते हैं कि आप क्या खोज रहे हैं, अन्य ग्राहकों से सहायक समीक्षाएं, आपकी प्राथमिकताओं के आधार पर वैयक्तिकृत सुझाव, छूट और उत्कृष्ट ग्राहक सहायता है।"
Marks & Spencer,Colourblocked Round Neck Pure Cotton Pullover Sweatshirt,MRP ₹2999,₹1199,"['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25703236/2023/10/31/6b17b704-cde5-4bea-88ab-b718312aed7f1698771907981Sweaters1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25703236/2023/10/31/137bb4e6-47cb-431c-9bb9-971a4d80d77c1698771907975Sweaters2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25703236/2023/10/31/a0dd42e0-08f7-47a1-a921-dbb4270fb1b91698771907970Sweaters3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25703236/2023/10/31/16682102-819a-4946-95e7-13e4c3c121e31698771907959Sweaters4.jpg']",men-sweatshirts,https://www.myntra.com/sweatshirts/marks+%26+spencer/marks--spencer-colourblocked-round-neck-pure-cotton-pullover-sweatshirt/25703236/buy,5.0,"This stylish colourblocked sweatshirt features a sophisticated blend of grey, teal blue, and navy blue hues. It comes with a classic round neck and long sleeves, making it ideal for casual occasions. The ribbed hem adds a touch of structure to the regular-length pullover design, ensuring a comfortable fit. This versatile piece is perfect for layering or wearing on its own, offering a contemporary look for various body types.",Users find the product very comfortable.,मार्क्स एंड स्पेंसर,"यह एक सीवेटशर्ट का वर्णन है। यह शुद्ध सूती कपड़े से बना है और इसकी गर्दन गोल है। यह एक सरल, सीधा-सादा डिज़ाइन है।","इस स्टाइलिश स्वेटशर्ट में एक अनूठी रंग योजना है जो धूसर, नीली और गहरे नीले रंग को जोड़ती है। इसमें पारंपरिक गोल नेकलाइन और लंबी आस्तीन है, जो इसे रोजमर्रा के पहनने के लिए बहुत अच्छा बनाती है। पट्टीदार हेम नियमित लंबाई के स्वेटशर्ट को थोड़ा आकार देता है, जिससे यह अच्छी तरह से फिट होने में मदद करता है। इस बहुमुखी स्वेटशर्ट को अपने आप पहना जा सकता है या अन्य कपड़ों के नीचे पहना जा सकता है, जो एक आधुनिक रूप देता है जो कई प्रकार के शरीर के प्रकारों के अनुरूप होता है।",उपयोगकर्ता वास्तव में उत्पाद का उपयोग करने का आनंद लेते हैं क्योंकि यह बहुत आरामदायक महसूस होता है।
Being Human,Long Sleeves Hooded Pullover,MRP ₹3799,₹1405,"['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26418024/2023/12/14/d755dc8a-43f1-45c4-aa6e-131631e189801702545888207BeingHumanMenRedSweatshirt1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26418024/2023/12/14/0520871e-c0e9-48e9-bff1-4e845a393d431702545888195BeingHumanMenRedSweatshirt2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26418024/2023/12/14/2e6321d4-772d-43f8-aa28-53e298db68221702545888184BeingHumanMenRedSweatshirt3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26418024/2023/12/14/12a6f2df-c07b-4d5a-aeae-08c02635353b1702545888190BeingHumanMenRedSweatshirt4.jpg']",men-sweatshirts,https://www.myntra.com/sweatshirts/being+human/being-human-long-sleeves-hooded-pullover/26418024/buy,4.666666666666667,"This green solid sweatshirt features a hood and long sleeves for a cozy, casual look. It includes two pockets and a straight hem, making it both practical and stylish. The pullover design and regular length ensure comfort and ease of wear, while the solid pattern adds a versatile touch to your wardrobe. Perfect for a variety of body types, this hooded sweatshirt is a great addition to any casual outfit.","Users find the product high-quality, stylish, and worth the purchase. One user suggests removing the chain pocket on the arms, while others praise its cool and stylish appearance. Overall, positive reviews highlight its excellent material quality.",बिंग ह्यूमन,लंबी बाजूदार हुड वाला पुलओवर,"यह हरा स्वेटशर्ट एक ठोस रंग है और इसमें एक हुड और लंबी आस्तीन है, जो इसे पहनने के लिए बहुत आरामदायक और आरामदायक बनाता है। इसमें दो पॉकेट और एक सीधा हेम है, जो इसे उपयोगी और स्टाइलिश दोनों बनाता है। जिस तरह से इसे आपके सिर के ऊपर से खींचने के लिए डिज़ाइन किया गया है और नियमित लंबाई इसे पहनने के लिए बहुत आरामदायक बनाती है। ठोस रंग का विन्यास इसे एक सरल और बहुमुखी रूप देता है जो कई अन्य कपड़ों के साथ अच्छी तरह से मेल खा सकता है। यह स्वेटशर्ट कई अलग-अलग शरीर प्रकारों के लिए उपयुक्त है और अनौपचारिक परिधानों के लिए एक अच्छा विकल्प है।","लोग वास्तव में उत्पाद को पसंद करते हैं क्योंकि यह उच्च गुणवत्ता वाला, दिखने में शानदार और पैसे के लिए एक अच्छा मूल्य है। एक व्यक्ति बाहों पर चेन पॉकेट निकालने का सुझाव देता है, लेकिन अधिकांश लोग सोचते हैं कि यह वास्तव में अच्छा और स्टाइलिश दिखता है। आम सहमति यह है कि उत्पाद में सामग्री की गुणवत्ता बहुत अच्छी है।"
H&M,Regular Fit Printed Hoodie,MRP,MRP₹ 1999,"['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26229552/2023/12/4/52bf6a74-5df9-42d0-9b23-72037d08f1451701700529301RegularFitPrintedhoodie1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26229552/2023/12/4/ec13235e-181d-472a-93c0-bb95df3877cd1701700529295RegularFitPrintedhoodie2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26229552/2023/12/4/78f6c8db-e1c8-4305-a0d9-a037e967bcc91701700529287RegularFitPrintedhoodie3.jpg']",men-sweatshirts,https://www.myntra.com/sweatshirts/h%26m/hm-regular-fit-printed-hoodie/26229552/buy,5.0,"This regular fit hoodie, crafted from a soft cotton blend, combines comfort and style with its lined drawstring hood and graphic print motif on the front. Featuring a kangaroo pocket and ribbed cuffs and hem, this long-sleeved pullover offers a cozy brushed interior, making it perfect for cooler days. Ideal for casual wear, it suits various body types and provides a relaxed, laid-back look.","Users rave about the H&M hoodie, praising its incredibly soft fabric, comfortable fit, and durability even after washing. It's described as a wardrobe staple with timeless style, though one user noted the color appears lighter in person. Overall, highly recommended for combining comfort and quality.",H&M,नियमित फिट मुद्रित हुडी,"यह नियमित फिट हुडी सूती के नरम मिश्रण से बनाई जाती है। इसे आरामदायक और स्टाइलिश दोनों के लिए डिज़ाइन किया गया है। इसमें एक लाइन वाली डोरी वाली हुड और सामने की तरफ एक ग्राफिक प्रिंट है। इसमें एक कंगारू पॉकेट और रिब्ड कफ और हेम भी है। लंबी आस्तीन इसे एक पुलओवर बनाती है। हुडी के अंदर को साफ किया जाता है, जिससे यह और अधिक आरामदायक महसूस होता है। इससे यह ठंडे दिनों में पहनने के लिए बहुत अच्छा बन जाता है। यह आरामदायक पहनने के लिए एक अच्छा विकल्प है और यह विभिन्न प्रकार के शरीर पर अच्छी तरह से फिट होता है। यह एक आराम से, सुस्त रूप देता है।","लोग वास्तव में एच एंड एम हुडी पसंद करते हैं। उनका कहना है कि यह बहुत नरम है, अच्छी तरह से फिट बैठती है और धोने के बाद भी अच्छी स्थिति में रहती है। वे इसे एक उत्कृष्ट कृति कहते हैं जो कभी भी शैली से बाहर नहीं होती है। हालाँकि, एक व्यक्ति ने उल्लेख किया कि जब आप इसे व्यक्तिगत रूप से देखते हैं तो रंग हल्का दिखता है। सामान्य तौर पर, यह अत्यधिक सुझाई जाती है क्योंकि यह आराम और गुणवत्ता दोनों प्रदान करती है।"
